Event Name,Description,Properties,Comments,Web,iOS,Android,AppleTV,AndroidTV
login_started,,,,,False,True,True,True,True
login_success_email,,,,,False,True,True,True,True
login_success_google,,,,,False,True,True,False,True
login_success_amazon,,,,,False,False,False,False,True
login_success_facebook,,,,,False,True,True,True,True
registration_started,,,,,False,True,True,True,True
goal_selected,,,,,False,True,False,True,True
profile_setup_skipped,,,,,False,False,False,True,True
registration_success_email,,,,,False,True,True,True,True
registration_success_google,,,,,False,True,True,False,True
registration_success_facebook,,,,,False,True,True,True,True
registration_success_amazon,,,,,False,False,True,False,True
registration_skipped,,,,,False,False,False,True,True
personalization,,,,,False,True,True,False,True
personalization_skipped,,,,,False,False,False,True,True
widget_shown,,,,,False,False,False,False,False
widget_clicked,,,,,False,False,False,False,False
program_start,,,,,False,True,True,True,True
program_completed,,,,,False,True,True,True,True
go_premium_clicked,,,,,False,True,True,True,True
package_selected,,,,,False,True,True,True,True
premium_signup_success,,,,,False,True,True,True,True
view_page_package,,,,,False,True,False,True,False
view_page_program_settings,,,,,False,True,False,False,False
view_page_settings,,,,,False,True,False,False,False
view_page_recipe,,,,,False,True,False,True,False
view_page_program,,,,,False,True,False,True,True
view_page_workouts,,,,,False,True,False,True,True
view_page_fitness_profile,,,,,False,True,False,True,False
workout_started,,,,,False,True,True,True,True
log_out_clicked,,,,,False,True,True,True,True
fitness_check,,,,,True,True,True,False,False
workout_finished,,,,,False,True,True,True,True
onboarding_step0,,,,,True,False,False,False,False
onboarding_step1,,,,,True,False,False,False,False
onboarding_step2,,,,,True,False,False,False,False
onboarding_step3,,,,,True,False,False,False,False
onboarding_step4,,,,,True,False,False,False,False
onboarding_step5,,,,,True,False,False,False,False
onboarding_step6,,,,,True,False,False,False,False
onboarding_step7,,,,,True,False,False,False,False
onboarding_step8,,,,,True,False,False,False,False
onboarding_step9,,,,,False,False,False,False,False
onboarding_step_+step,,,,,False,False,False,False,False
onboarding_step_post_login_+step,,,,,False,False,False,False,False
music_settings_selected,,,,,True,True,True,False,False
music_settings_close,,,,,True,False,False,False,False
music_gymondo_toggle,,,,,True,True,True,False,False
music_gymondo_volume,,,,,True,False,False,False,False
music_spotify_info,,,,,False,False,False,False,False
music_spotify_toggle,,,,,False,True,True,False,False
music_spotify_play,,,,,False,True,True,False,False
music_spotify_pause,,,,,False,True,True,False,False
music_spotify_skip_forward,,,,,False,True,True,False,False
music_spotify_skip_backward,,,,,False,True,True,False,False
music_spotify_volume,,,,,False,True,True,False,False
watch_paired,,,,,False,False,False,False,False
watch_unpaired,,,,,False,False,False,False,False
workout start,,,,,False,False,False,False,False
workout finish,,,,,False,False,False,False,False
workout share,,,,,False,False,False,False,False
workout filters,,,,,False,False,False,False,False
workout challenge save,,,,,False,False,False,False,False
signup_complete,,,,,True,False,False,False,False
sign_up_clicked,,,,,False,False,False,False,False
payment_clicked,,,,,True,False,False,False,False
google_registered,,,,,False,False,False,False,False
facebook_registered,,,,,False,False,False,False,False
email_registered,,,,,False,False,False,False,False
upload progress picture,,,,,False,False,False,False,False
subscription extended,,,,,False,False,False,False,False
referral link clicked,,,,,False,False,False,False,False
